board,class_level,subject,lesson_number,lesson_title,lesson_summary
TS,6,MAT,1,Introduction to Integers,"Understanding positive and negative numbers, number line representation"
TS,6,MAT,2,Addition and Subtraction,"Operations with integers, solving problems with real-life applications"
TS,6,SCI,1,Food and Nutrition,"Understanding nutrients, balanced diet, deficiency diseases"
TS,6,SCI,2,Fiber to Fabric,"Natural and synthetic fibers, fabric making process"
TS,6,ENG,1,Pronouns and Adjectives,"Parts of speech, usage in sentences"
TS,7,MAT,1,Algebraic Expressions,"Introduction to algebra, variables and constants"
TS,7,MAT,2,Linear Equations,"Solving one-variable equations, applications"
TS,8,MAT,1,Rational Numbers,"Understanding fractions, operations with rational numbers"
TS,8,PHY,1,Force and Pressure,"Types of forces, pressure calculation, atmospheric pressure"
TS,8,BIO,1,Crop Production,"Types of crops, farming methods, crop protection"
TS,9,MAT,1,Number Systems,"Real numbers, irrational numbers, operations"
TS,9,PHY,1,Motion,"Types of motion, speed, velocity, acceleration"
TS,9,BIO,1,Cell Structure,"Plant and animal cells, cell organelles, functions"
TS,10,MAT,1,Quadratic Equations,"Standard form, solving methods, discriminant"
TS,10,PHY,1,Electricity,"Electric current, Ohm's law, series and parallel circuits"
TS,10,BIO,1,Life Processes,"Nutrition, respiration, transportation, excretion"
AP,6,MAT,1,Knowing Our Numbers,"Large numbers, estimation, Roman numerals"
AP,6,SCI,1,Plants and Their Parts,"Root, stem, leaf, flower functions"
AP,7,MAT,1,Integers,"Properties, operations, applications"
CHS,6,CHS,1,Introduction to Chess,"Board setup, piece names, basic movement rules"
CHS,6,CHS,2,Pawn Movement,"Pawn moves, capturing, en passant, promotion"
CHS,7,CHS,1,Opening Principles,"Control center, develop pieces, king safety"
CHS,7,CHS,2,Basic Tactics,"Forks, pins, skewers, discovered attacks"
CHS,8,CHS,1,Middle Game Strategy,"Pawn structures, piece coordination, planning"
CUB,6,CUB,1,Cube Basics,"Rubik's Cube anatomy, notation, first layer solving"
CUB,6,CUB,2,Second Layer,"F2L method, edge piece placement"
CUB,7,CUB,1,Last Layer,"OLL and PLL algorithms, pattern recognition"
CON,6,CON,1,Public Speaking Basics,"Voice modulation, body language, confidence building"
CON,6,CON,2,Communication Skills,"Effective listening, expressing ideas clearly"
CON,7,CON,1,Leadership Skills,"Team building, decision making, responsibility"
CAR,9,CAR,1,Career Exploration,"Different career paths, aptitude testing"
CAR,9,CAR,2,Goal Setting,"SMART goals, planning for future education"
CAR,10,CAR,1,Higher Education Options,"Engineering, medical, commerce, arts streams"
CAR,10,CAR,2,Entrance Exam Preparation,"JEE, NEET, other competitive exams overview"
